Name,OtherName,RAJ2000,DEJ2000,RA1,DE1
"J04"," ",77.93595833333332,-68.99922222222222,78.00574999999999,-69.05725
"J07"," ",77.98287499999999,-69.1252222222222,78.05749999999999,-69.18302777777777
"J10"," ",78.24954166666666,-68.95213888888888,78.31837499999999,-69.00869444444443
"J12"," ",78.26899999999999,-69.22369444444443,78.34804166666666,-69.28013888888889
"J14"," ",78.78625,-69.35024999999999,78.87141666666666,-69.40422222222222
"J15","Sa111",78.85354166666666,-69.47863888888888,78.94387499999999,-69.53227777777776
"J16"," ",78.97783333333332,-69.50991666666665,79.06966666666665,-69.56294444444444
"J17"," ",79.25299999999999,-69.32475,79.33829166666665,-69.37647222222222
"J18"," ",79.34970833333333,-69.65366666666665,79.44808333333333,-69.70491666666666
"J19"," ",79.49529166666666,-69.65638888888888,79.59412499999999,-69.70694444444443
"J20","Sa112",79.69075,-69.1698611111111,79.77112499999998,-69.21952777777777
"J21"," ",79.73208333333332,-69.55058333333332,79.82720833333332,-69.6
"J22"," ",79.77924999999999,-69.69833333333332,79.88033333333333,-69.74752777777776
"J23"," ",79.81283333333332,-69.58127777777777,79.90937499999998,-69.63030555555555
"J24"," ",79.89241666666666,-69.74969444444443,79.99583333333332,-69.79833333333332
"J26","Sa113",80.00424999999998,-69.43249999999999,80.09541666666665,-69.48063888888888
"J31","Sa114",80.23716666666665,-70.08624999999999,80.35504166666665,-70.13322222222222
"J32"," ",80.28183333333332,-69.74113888888888,80.38574999999999,-69.78791666666666
"J33","Sa115",80.32312499999999,-69.71694444444444,80.42616666666666,-69.76352777777777
"J38","Sa116",81.15241666666665,-69.09752777777777,81.23299999999999,-69.14016666666666
"J41","Sa118",81.53966666666666,-69.01624999999999,81.61787499999998,-69.05705555555555
"MG01"," ",71.84516666666666,-67.68855555555555,71.850625,-67.77530555555555
"MG02"," ",72.03854166666666,-68.56083333333332,72.07387499999999,-68.64663888888887
"MG03"," ",72.73633333333332,-66.33125,72.70341666666666,-66.41397222222221
"MG04"," ",73.18849999999999,-70.29697222222221,73.29391666666666,-70.37727777777776
"MG05"," ",73.37358333333333,-68.38119444444443,73.40749999999998,-68.46080555555555
"MG06"," ",73.553625,-72.77330555555555,73.77674999999999,-72.85163888888889
"MG07"," ",73.54062499999999,-74.99741666666665,73.89991666666666,-75.07547222222222
"MG08"," ",73.91579166666665,-68.57230555555554,73.95820833333332,-68.64938888888888
"MG09"," ",74.08787499999998,-67.40624999999999,74.09187499999999,-67.48258333333332
"MG10"," ",74.15745833333332,-67.68183333333333,74.17054166666665,-67.75783333333332
"MG11"," ",74.82641666666666,-67.45108333333333,74.83408333333333,-67.52397222222221
"MG12"," ",75.41779166666666,-66.77933333333333,75.40624999999999,-66.84949999999999
"MG13"," ",75.76366666666665,-65.38397222222221,75.71287499999998,-65.45258333333332
"MG14"," ",76.11541666666666,-68.96983333333333,76.17908333333332,-69.03649999999999
"MG15"," ",76.39879166666665,-68.02780555555555,76.43004166666665,-68.09322222222221
"MG16"," ",76.52158333333333,-64.81366666666666,76.45741666666666,-64.87872222222221
"MG17"," ",76.58833333333332,-64.61763888888888,76.51924999999999,-64.68238888888888
"MG18"," ",76.76299999999999,-65.72283333333333,76.72408333333333,-65.78669444444444
"MG19"," ",77.13349999999998,-68.16230555555555,77.17129166666666,-68.22424999999998
"MG20"," ",77.66766666666666,-68.17319444444443,77.70720833333333,-68.23258333333332
"MG21"," ",77.90812499999998,-65.71169444444443,77.87154166666666,-65.7701111111111
"MG22"," ",77.97299999999998,-65.54083333333332,77.93179166666665,-65.59897222222222
"MG23"," ",77.94745833333332,-68.26930555555555,77.99104166666666,-68.3273611111111
"MG24"," ",78.25420833333332,-65.25947222222221,78.20583333333332,-65.31630555555554
"MG25"," ",78.07429166666665,-71.91375,78.2695,-71.97083333333332
"MG26"," ",78.36666666666666,-66.29122222222222,78.34779166666665,-66.34744444444443
"MG27"," ",78.392625,-65.58699999999999,78.35354166666666,-65.64313888888888
"MG28"," ",78.29058333333332,-69.52166666666666,78.38116666666666,-69.57797222222221
"MG29"," ",78.42645833333333,-68.25455555555554,78.47066666666666,-68.31033333333332
"MG30"," ",78.56120833333333,-70.84208333333332,78.70745833333332,-70.89697222222222
"MG31"," ",79.12204166666666,-68.30313888888888,79.16954166666666,-68.3556111111111
"MG32"," ",79.76683333333332,-64.98849999999999,79.71408333333332,-65.0381111111111
"MG33"," ",79.80724999999998,-66.15869444444444,79.78737499999998,-66.20802777777777
"MG34"," ",79.87029166666666,-67.24069444444443,79.88374999999999,-67.28966666666666
"MG35"," ",79.88895833333332,-66.92699999999999,79.89254166666666,-66.97588888888887
"MG36"," ",80.12379166666666,-64.8872222222222,80.06895833333333,-64.9351111111111
"MG37"," ",80.44504166666665,-65.37408333333333,80.40395833333332,-65.42041666666665
"MG38"," ",80.51237499999999,-64.4211111111111,80.44599999999998,-64.46719444444443
"MG39","LM2-19",80.55387499999999,-69.72474999999999,80.65770833333332,-69.77022222222222
"MG40"," ",80.64691666666666,-68.40702777777777,80.70124999999999,-68.45219444444443
"MG41"," ",80.90720833333332,-65.16508333333333,80.86116666666666,-65.20922222222221
"MG42"," ",81.25754166666665,-67.39913888888888,81.27866666666665,-67.44144444444443
"MG43"," ",81.14245833333332,-71.22763888888888,81.31237499999999,-71.27013888888888
"MG44"," ",81.48195833333332,-63.73677777777777,81.39979166666666,-63.77824999999999
"MG45"," ",81.52704166666666,-63.61724999999999,81.442,-63.65849999999999
"MG46"," ",81.58533333333332,-65.36274999999999,81.54579166666666,-65.4036111111111
"MG47"," ",81.68858333333333,-64.63355555555555,81.6295,-64.67397222222222
"MG48"," ",81.74904166666666,-66.11827777777776,81.73129166666665,-66.15830555555554
"MG49"," ",81.88387499999999,-69.53855555555555,81.98279166666666,-69.57763888888888
"MG50"," ",82.28595833333333,-66.71563888888888,82.28699999999999,-66.75302777777777
"MG51"," ",82.14337499999999,-70.55044444444444,82.28474999999999,-70.58816666666665
"MG52"," ",82.28658333333333,-69.75777777777776,82.39495833333332,-69.79491666666665
"MG53"," ",82.398625,-69.7681111111111,82.50762499999999,-69.80469444444444
"MG54"," ",82.46420833333332,-68.83488888888888,82.53720833333333,-68.87124999999999
"MG55"," ",82.78779166666665,-71.61116666666666,82.97904166666666,-71.64569444444443
"MG56"," ",82.93749999999999,-69.71866666666666,83.04533333333332,-69.75266666666666
"MG57"," ",82.79654166666666,-74.38147222222221,83.14549999999998,-74.41555555555554
"MG58"," ",83.15699999999998,-67.14197222222221,83.17266666666666,-67.17513888888888
"MG59"," ",83.23333333333332,-65.27833333333332,83.19362499999998,-65.31124999999999
"MG60"," ",83.37874999999998,-69.13702777777777,83.46445833333333,-69.16894444444443
"MG61"," ",83.30462499999999,-72.6128611111111,83.54812499999998,-72.64474999999999
"MG62"," ",83.65220833333332,-68.30774999999998,83.70779166666665,-68.33841666666666
"MG63"," ",83.54254166666665,-71.72058333333332,83.74037499999999,-71.75141666666666
"MG64"," ",83.80320833333332,-67.63277777777778,83.83570833333332,-67.66277777777776
"MG65"," ",83.79291666666666,-69.66080555555554,83.89962499999999,-69.69066666666666
"MG66"," ",84.49808333333333,-65.98055555555554,84.47970833333332,-66.00730555555555
"MG67"," ",84.40841666666665,-71.6938611111111,84.60612499999999,-71.72055555555555
"MG68"," ",84.58104166666665,-68.97699999999999,84.66216666666665,-69.0031111111111
"MG69"," ",84.81449999999998,-66.82874999999999,84.82208333333332,-66.85391666666666
"MG70"," ",84.55108333333332,-75.00608333333332,84.94654166666666,-75.03158333333332
"MG71"," ",84.978625,-66.57030555555555,84.97837499999999,-66.59469444444443
"MG72"," ",85.084375,-67.03391666666666,85.09870833333332,-67.05774999999998
"MG73"," ",85.40254166666665,-69.4527222222222,85.50279166666665,-69.47483333333332
"MG74"," ",85.228625,-74.68866666666666,85.60249999999999,-74.71094444444444
"MG75"," ",85.56420833333333,-68.81547222222221,85.64020833333332,-68.8368611111111
"MG76"," ",85.60099999999998,-69.88475,85.71879166666666,-69.90583333333332
"MG77"," ",85.94829166666665,-68.64308333333332,86.01825,-68.6626111111111
"MG78"," ",86.60587499999998,-67.8341111111111,86.64774999999999,-67.85052777777777
"MG79"," ",86.49866666666665,-71.31802777777777,86.68041666666666,-71.33463888888888
"MG80"," ",87.37129166666665,-67.91502777777777,87.41633333333333,-67.92772222222222
"MG81"," ",87.75037499999999,-67.97933333333333,87.79783333333332,-67.99016666666665
"MG82"," ",88.29945833333332,-71.48249999999999,88.48995833333332,-71.49033333333333
"MG83"," ",88.66420833333332,-69.34294444444444,88.76199999999999,-69.34922222222221
"MG84"," ",88.67279166666665,-72.39216666666665,88.90941666666666,-72.39805555555554
